Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1961","1961","tonnes","4855300","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1962","1962","tonnes","7497000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1963","1963","tonnes","5752370","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1964","1964","tonnes","6243200","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1965","1965","tonnes","6841720","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1966","1966","tonnes","6225340","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1967","1967","tonnes","6202620","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1968","1968","tonnes","6646030","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1969","1969","tonnes","5128960","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1970","1970","tonnes","7540180","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1971","1971","tonnes","6224510","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1972","1972","tonnes","5946880","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1973","1973","tonnes","8347210","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1974","1974","tonnes","7643110","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1975","1975","tonnes","6697410","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1976","1976","tonnes","7414530","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1977","1977","tonnes","5302000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1978","1978","tonnes","5890500","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1979","1979","tonnes","8437728","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1980","1980","tonnes","6971100","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1981","1981","tonnes","5770000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1982","1982","tonnes","7995000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1983","1983","tonnes","6880000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1984","1984","tonnes","6415000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1985","1985","tonnes","7029000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1986","1986","tonnes","7422000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1987","1987","tonnes","6944000","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1988","1988","tonnes","5745500","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1989","1989","tonnes","6048400","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1990","1990","tonnes","6552210","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1991","1991","tonnes","4266930","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1992","1992","tonnes","6492850","A","Official figure"
"QCL","Crops and livestock products","250","France","5510","Production","24212.02","Wine","1993","1993","tonnes","5331440","A","Official figure"
