,Year Code,Area,Value,Value_log,Value Transform
0,1961-01-01,France,4855300.0,15.395581449765562,0.0
1,1962-01-01,France,7497000.0,15.830013498485199,2641700.0
2,1963-01-01,France,5752370.0,15.565122501766243,-1744630.0
3,1964-01-01,France,6243200.0,15.64700342941093,490830.0
4,1965-01-01,France,6841720.0,15.73854971997577,598520.0
5,1966-01-01,France,6225340.0,15.644138617297406,-616380.0
6,1967-01-01,France,6202620.0,15.640482341398426,-22720.0
7,1968-01-01,France,6646030.0,15.709530241879868,443410.0
8,1969-01-01,France,5128960.0,15.450413467549808,-1517070.0
9,1970-01-01,France,7540180.0,15.835756612378235,2411220.0
10,1971-01-01,France,6224510.0,15.64400528235743,-1315670.0
11,1972-01-01,France,5946880.0,15.598377270244017,-277630.0
12,1973-01-01,France,8347210.0,15.937437909256065,2400330.0
13,1974-01-01,France,7643110.0,15.849315146375805,-704100.0
14,1975-01-01,France,6697410.0,15.717231442460669,-945700.0
15,1976-01-01,France,7414530.0,15.81895214651491,717120.0
16,1977-01-01,France,5302000.0,15.483594665831108,-2112530.0
17,1978-01-01,France,5890500.0,15.58885144166831,588500.0
18,1979-01-01,France,8437728.0,15.948223636020051,2547228.0
19,1980-01-01,France,6971100.0,15.757283589509814,-1466628.0
20,1981-01-01,France,5770000.0,15.568182638484283,-1201100.0
21,1982-01-01,France,7995000.0,15.894326904250192,2225000.0
22,1983-01-01,France,6880000.0,15.744129209909527,-1115000.0
23,1984-01-01,France,6415000.0,15.674149556031875,-465000.0
24,1985-01-01,France,7029000.0,15.765555006158042,614000.0
25,1986-01-01,France,7422000.0,15.81995912060268,393000.0
26,1987-01-01,France,6944000.0,15.753388535322323,-478000.0
27,1988-01-01,France,5745500.0,15.563927497679826,-1198500.0
28,1989-01-01,France,6048400.0,15.615304332220651,302900.0
29,1990-01-01,France,6552210.0,15.695312955283462,503810.0
30,1991-01-01,France,4266930.0,15.266405157067211,-2285280.0
31,1992-01-01,France,6492850.0,15.686212129421833,2225920.0
32,1993-01-01,France,5331440.0,15.48913192850853,-1161410.0
33,1994-01-01,France,5464000.0,15.513691680232762,132560.0
34,1995-01-01,France,5560100.0,15.531126651676537,96100.0
35,1996-01-01,France,6003700.0,15.60788650379824,443600.0
36,1997-01-01,France,5509800.0,15.52203888282967,-493900.0
37,1998-01-01,France,5427100.0,15.506915479262364,-82700.0
38,1999-01-01,France,6293500.0,15.655027912713697,866400.0
39,2000-01-01,France,5754100.0,15.565423202157072,-539400.0
40,2001-01-01,France,5338800.0,15.490511466582133,-415300.0
41,2002-01-01,France,5000000.0,15.424948470398375,-338800.0
42,2003-01-01,France,4749060.0,15.373457261690234,-250940.0
43,2004-01-01,France,5910694.0,15.59227381057613,1161634.0
44,2005-01-01,France,5344170.0,15.491516805069892,-566524.0
45,2006-01-01,France,5349333.0,15.492482438202682,5163.0
46,2007-01-01,France,4711600.0,15.365538111066767,-637733.0
47,2008-01-01,France,4268899.0,15.266866506523703,-442701.0
48,2009-01-01,France,4679170.0,15.358631301738033,410271.0
49,2010-01-01,France,4531671.0,15.326601303614051,-147499.0
50,2011-01-01,France,5106761.0,15.44607590602285,575090.0
51,2012-01-01,France,4209724.0,15.252907645314757,-897037.0
52,2013-01-01,France,4293455.0,15.272602328080161,83731.0
53,2014-01-01,France,4742300.0,15.37203280805176,448845.0
54,2015-01-01,France,4785700.0,15.3811428626609,43400.0
55,2016-01-01,France,4504383.0,15.320561480710326,-281317.0
56,2017-01-01,France,3637009.0,15.106672198533015,-867374.0
57,2018-01-01,France,4888791.0,15.402455591618585,1251782.0
58,2019-01-01,France,4165524.0,15.242352635993754,-723267.0
59,2020-01-01,France,4390000.0,15.294839785051353,224476.0
60,1961-01-01,Italy,5248200.0,15.473395718636,0.0
61,1962-01-01,Italy,6999300.0,15.761320702019255,1751100.0
62,1963-01-01,Italy,5364000.0,15.495220523383706,-1635300.0
63,1964-01-01,Italy,6694500.0,15.716796851719572,1330500.0
64,1965-01-01,Italy,6820600.0,15.735458002489526,126100.0
65,1966-01-01,Italy,6470600.0,15.682779397880639,-350000.0
66,1967-01-01,Italy,7472500.0,15.82674017314023,1001900.0
67,1968-01-01,Italy,6532300.0,15.692269659758201,-940200.0
68,1969-01-01,Italy,7165800.0,15.784830266884573,633500.0
69,1970-01-01,Italy,6887400.0,15.745204213281642,-278400.0
70,1971-01-01,Italy,6421000.0,15.675084426776186,-466400.0
71,1972-01-01,Italy,6017000.0,15.61009935420249,-404000.0
72,1973-01-01,Italy,7672000.0,15.85308789554541,1655000.0
73,1974-01-01,Italy,7687000.0,15.855041148331269,15000.0
74,1975-01-01,Italy,6983000.0,15.758989181828172,-704000.0
75,1976-01-01,Italy,6585000.0,15.700304893159519,-398000.0
76,1977-01-01,Italy,6414200.0,15.67402484053893,-170800.0
77,1978-01-01,Italy,7244000.0,15.795684097985442,829800.0
78,1979-01-01,Italy,8514600.0,15.957292895050683,1270600.0
79,1980-01-01,Italy,8654500.0,15.97358997484859,139900.0
80,1981-01-01,Italy,7056000.0,15.769388876668764,-1598500.0
81,1982-01-01,Italy,7264800.0,15.798551325357755,208800.0
82,1983-01-01,Italy,8328000.0,15.935133889276942,1063200.0
83,1984-01-01,Italy,7090000.0,15.77419589850831,-1238000.0
84,1985-01-01,Italy,6234000.0,15.64552873930942,-856000.0
85,1986-01-01,Italy,7709330.0,15.857941841633776,1475330.0
86,1987-01-01,Italy,7587490.0,15.842011396391856,-121840.0
87,1988-01-01,Italy,6101030.0,15.623968167348584,-1486460.0
88,1989-01-01,Italy,6032680.0,15.612701914411634,-68350.0
89,1990-01-01,Italy,5486610.0,15.51782113642371,-546070.0
90,1991-01-01,Italy,5978800.0,15.603730436893796,492190.0
91,1992-01-01,Italy,6868610.0,15.742472314760745,889810.0
92,1993-01-01,Italy,6267160.0,15.650833859437798,-601450.0
93,1994-01-01,Italy,5927974.0,15.59519305998353,-339186.0
94,1995-01-01,Italy,5620140.0,15.541867132591628,-307834.0
95,1996-01-01,Italy,5877181.0,15.586587783146742,257041.0
96,1997-01-01,Italy,5056313.0,15.436148119538263,-820868.0
97,1998-01-01,Italy,5714040.0,15.55843686209837,657727.0
98,1999-01-01,Italy,5807280.0,15.574622860860083,93240.0
99,2000-01-01,Italy,5408752.0,15.503528940292368,-398528.0
100,2001-01-01,Italy,5229300.0,15.469787983871067,-179452.0
101,2002-01-01,Italy,4460413.0,15.31075192060591,-768887.0
102,2003-01-01,Italy,4408611.0,15.29907023182443,-51802.0
103,2004-01-01,Italy,5313517.0,15.48576450918753,904906.0
104,2005-01-01,Italy,5056648.0,15.436214371153417,-256869.0
105,2006-01-01,Italy,4711665.0,15.365551906709785,-344983.0
106,2007-01-01,Italy,4094326.0,15.225112670758136,-617339.0
107,2008-01-01,Italy,4394644.0,15.295897084682988,300318.0
108,2009-01-01,Italy,4342412.0,15.283940512067653,-52232.0
109,2010-01-01,Italy,4469318.0,15.312746382242416,126906.0
110,2011-01-01,Italy,4063165.0,15.217472784531699,-406153.0
111,2012-01-01,Italy,3826531.0,15.15746920659744,-236634.0
112,2013-01-01,Italy,4504412.0,15.320567918863265,677881.0
113,2014-01-01,Italy,4208752.0,15.252676724657784,-295660.0
114,2015-01-01,Italy,4874273.0,15.39948152308824,665521.0
115,2016-01-01,Italy,5161546.0,15.456746704986013,287273.0
116,2017-01-01,Italy,4382936.0,15.293229377423474,-778610.0
117,2018-01-01,Italy,5415000.0,15.504683438417228,1032064.0
118,2019-01-01,Italy,4985862.0,15.42211686518562,-429138.0
119,2020-01-01,Italy,5191550.0,15.462542861807071,205688.0
120,1961-01-01,Spain,2018400.0,14.517815676308985,0.0
121,1962-01-01,Spain,2422200.0,14.700186776069087,403800.0
122,1963-01-01,Spain,2555400.0,14.75371932513936,133200.0
123,1964-01-01,Spain,3417500.0,15.044419847580242,862100.0
124,1965-01-01,Spain,2645200.0,14.788257234782645,-772300.0
125,1966-01-01,Spain,3074900.0,14.938782938368755,429700.0
126,1967-01-01,Spain,2331045.0,14.66182722285086,-743855.0
127,1968-01-01,Spain,2313300.0,14.654185634489162,-17745.0
128,1969-01-01,Spain,2461900.0,14.716443967517387,148600.0
129,1970-01-01,Spain,2560500.0,14.755713109884741,98600.0
130,1971-01-01,Spain,2432500.0,14.704430093042298,-128000.0
131,1972-01-01,Spain,2656000.0,14.792331789578462,223500.0
132,1973-01-01,Spain,3999900.0,15.20177991877166,1343900.0
133,1974-01-01,Spain,3619000.0,15.10170830254588,-380900.0
134,1975-01-01,Spain,3246500.0,14.993088050930679,-372500.0
135,1976-01-01,Spain,2432700.0,14.704512309600759,-813800.0
136,1977-01-01,Spain,2182000.0,14.595752445375153,-250700.0
137,1978-01-01,Spain,2946100.0,14.895992819759913,764100.0
138,1979-01-01,Spain,4820500.0,15.388388215086572,1874400.0
139,1980-01-01,Spain,4240200.0,15.260120995907,-580300.0
140,1981-01-01,Spain,3366700.0,15.029443594084462,-873500.0
141,1982-01-01,Spain,3743300.0,15.135478133287368,376600.0
142,1983-01-01,Spain,3091300.0,14.94410227237357,-652000.0
143,1984-01-01,Spain,3395800.0,15.038049931864048,304500.0
144,1985-01-01,Spain,3238200.0,14.99052817783479,-157600.0
145,1986-01-01,Spain,3508200.0,15.070613643391816,270000.0
146,1987-01-01,Spain,3997600.0,15.201204739012132,489400.0
147,1988-01-01,Spain,2212900.0,14.609814430483958,-1784700.0
148,1989-01-01,Spain,3113000.0,14.951097449423745,900100.0
149,1990-01-01,Spain,3969200.0,15.194075121022223,856200.0
150,1991-01-01,Spain,3139000.0,14.959414835824091,-830200.0
151,1992-01-01,Spain,3383200.0,15.034332565140415,244200.0
152,1993-01-01,Spain,2650700.0,14.790334314024083,-732500.0
153,1994-01-01,Spain,2078300.0,14.547060809807164,-572400.0
154,1995-01-01,Spain,2104000.0,14.559350852839737,25700.0
155,1996-01-01,Spain,3040100.0,14.927400967578226,936100.0
156,1997-01-01,Spain,3321700.0,15.015987258033501,281600.0
157,1998-01-01,Spain,3022400.0,14.921561775729382,-299300.0
158,1999-01-01,Spain,3338800.0,15.02112201895872,316400.0
159,2000-01-01,Spain,4117300.0,15.23070816669089,778500.0
160,2001-01-01,Spain,3095100.0,14.945330773756577,-1022200.0
161,2002-01-01,Spain,3454000.0,15.05504353768876,358900.0
162,2003-01-01,Spain,4246241.0,15.261544678937463,792241.0
163,2004-01-01,Spain,4280433.0,15.269564730665119,34192.0
164,2005-01-01,Spain,3643700.0,15.10851020685986,-636733.0
165,2006-01-01,Spain,3890731.0,15.174107615678091,247031.0
166,2007-01-01,Spain,3520870.0,15.074218676126412,-369861.0
167,2008-01-01,Spain,3736690.0,15.133710750785358,215820.0
168,2009-01-01,Spain,3250610.0,14.994353229001614,-486080.0
169,2010-01-01,Spain,3610000.0,15.099218330309064,359390.0
170,2011-01-01,Spain,3370910.0,15.030693295550684,-239090.0
171,2012-01-01,Spain,3112260.0,14.950859708348357,-258650.0
172,2013-01-01,Spain,4607850.0,15.3432719287447,1495590.0
173,2014-01-01,Spain,3950000.0,15.189226136877304,-657850.0
174,2015-01-01,Spain,3776916.4,15.144418467480875,-173083.6000000001
175,2016-01-01,Spain,3930000.0,15.184149983845444,153083.6000000001
176,2017-01-01,Spain,3250000.0,14.994165554305921,-680000.0
177,2018-01-01,Spain,4490000.0,15.317363259718437,1240000.0
178,2019-01-01,Spain,3370000.0,15.030423302328545,-1120000.0
179,2020-01-01,Spain,4070000.0,15.219153557418778,700000.0
180,1961-01-01,United States of America,641632.0,13.371770209602431,0.0
181,1962-01-01,United States of America,695115.0,13.45183257848457,53483.0
182,1963-01-01,United States of America,734876.0,13.507457056479272,39761.0
183,1964-01-01,United States of America,730391.0,13.501335286171646,-4485.0
184,1965-01-01,United States of America,830899.0,13.630263526138087,100508.0
185,1966-01-01,United States of America,733994.0,13.506256133176322,-96905.0
186,1967-01-01,United States of America,780013.0,13.567065865193554,46019.0
187,1968-01-01,United States of America,811897.0,13.607128763807376,31884.0
188,1969-01-01,United States of America,1022542.0,13.837802241850127,210645.0
189,1970-01-01,United States of America,968776.0,13.783788697999219,-53766.0
190,1971-01-01,United States of America,1369915.0,14.130259252083892,401139.0
191,1972-01-01,United States of America,1204091.0,14.001235483390122,-165824.0
192,1973-01-01,United States of America,1581337.0,14.273781249707282,377246.0
193,1974-01-01,United States of America,1424071.0,14.169030229261674,-157266.0
194,1975-01-01,United States of America,1453457.0,14.189455414780129,29386.0
195,1976-01-01,United States of America,1436597.0,14.177787680356701,-16860.0
196,1977-01-01,United States of America,1582700.0,14.274642807321374,146103.0
197,1978-01-01,United States of America,1616000.0,14.295464518063177,33300.0
198,1979-01-01,United States of America,1605000.0,14.288634314546254,-11000.0
199,1980-01-01,United States of America,1800000.0,14.403297222866392,195000.0
200,1981-01-01,United States of America,1630000.0,14.304090572782945,-170000.0
201,1982-01-01,United States of America,1950000.0,14.48333993053993,320000.0
202,1983-01-01,United States of America,1476000.0,14.204846284142555,-474000.0
203,1984-01-01,United States of America,1665600.0,14.325695976842841,189600.0
204,1985-01-01,United States of America,1720000.0,14.357834848789636,54400.0
205,1986-01-01,United States of America,1927000.0,14.471474947396503,207000.0
206,1987-01-01,United States of America,1904000.0,14.459467494333447,-23000.0
207,1988-01-01,United States of America,2011000.0,14.51414266875479,107000.0
208,1989-01-01,United States of America,1829000.0,14.419279927373003,-182000.0
209,1990-01-01,United States of America,1844500.0,14.427718796018867,15500.0
210,1991-01-01,United States of America,1721800.0,14.35888081320599,-122700.0
211,1992-01-01,United States of America,1521900.0,14.235470112222892,-199900.0
212,1993-01-01,United States of America,1944100.0,14.48030970300873,422200.0
213,1994-01-01,United States of America,1755000.0,14.377979414882104,-189100.0
214,1995-01-01,United States of America,1866800.0,14.439736293057798,111800.0
215,1996-01-01,United States of America,1887700.0,14.450869714756825,20900.0
216,1997-01-01,United States of America,2617600.0,14.777768425390565,729900.0
217,1998-01-01,United States of America,2050000.0,14.53335035111459,-567600.0
218,1999-01-01,United States of America,2075000.0,14.545471711646936,25000.0
219,2000-01-01,United States of America,2487000.0,14.726587722785542,412000.0
220,2001-01-01,United States of America,2395000.0,14.688893788827153,-92000.0
221,2002-01-01,United States of America,2286000.0,14.642314123336893,-109000.0
222,2003-01-01,United States of America,2415000.0,14.69720984506881,129000.0
223,2004-01-01,United States of America,2466000.0,14.718107962706426,51000.0
224,2005-01-01,United States of America,2888000.0,14.876074778994854,422000.0
225,2006-01-01,United States of America,2360000.0,14.674172177001793,-528000.0
226,2007-01-01,United States of America,2488000.0,14.726989732841208,128000.0
227,2008-01-01,United States of America,2530000.0,14.743729860703702,42000.0
228,2009-01-01,United States of America,2730000.0,14.819812167161142,200000.0
229,2010-01-01,United States of America,2711000.0,14.812828128480803,-19000.0
230,2011-01-01,United States of America,2638000.0,14.785531612259398,-73000.0
231,2012-01-01,United States of America,2987000.0,14.909780097198247,349000.0
232,2013-01-01,United States of America,3217000.0,14.983959806221163,230000.0
233,2014-01-01,United States of America,3300000.0,15.009433026436708,83000.0
234,2015-01-01,United States of America,3266630.26,14.999269510012626,-33369.74000000022
235,2016-01-01,United States of America,2720878.67,14.816465426547028,-545751.5899999999
236,2017-01-01,United States of America,2170461.61,14.59045042639651,-550417.06
237,2018-01-01,United States of America,2384006.24,14.684292924613617,213544.63000000035
238,2019-01-01,United States of America,2630772.27,14.782787999833788,246766.0299999998
239,2020-01-01,United States of America,1886634.18,14.450304942281734,-744138.0900000001
